Event	ID	Name			Wwise Object Path	Notes
	209243740	ToVictory			\Default Work Unit\Music_states\ToVictory	
	489003304	State_Up			\Default Work Unit\Music events\State_Up	
	775889684	Game_over_too_fast			\Default Work Unit\Music_states\Game_over_too_fast	
	957044181	Game_over_too_slow			\Default Work Unit\Music_states\Game_over_too_slow	
	1203400786	Restart			\Default Work Unit\Music events\Restart	
	1890578599	switchlane			\Default Work Unit\Player\switchlane	
	3579758495	State_down			\Default Work Unit\Music events\State_down	
	3725903807	Music_start			\Default Work Unit\Music events\Music_start	
	4246082459	ToState4			\Default Work Unit\Music_states\ToState4	
	4246082460	ToState3			\Default Work Unit\Music_states\ToState3	
	4246082461	ToState2			\Default Work Unit\Music_states\ToState2	
	4246082462	ToState1			\Default Work Unit\Music_states\ToState1	
	4246082463	ToState0			\Default Work Unit\Music_states\ToState0	

State Group	ID	Name			Wwise Object Path	Notes
	3762137787	Player_life			\Default Work Unit\Player_life	

State	ID	Name	State Group			Notes
	655265632	Alive	Player_life			
	748895195	None	Player_life			
	1398680609	Dead_slow	Player_life			
	3079415640	Dead_fast	Player_life			

Custom State	ID	Name	State Group	Owner		Notes
	8629409	Dead_slow	Player_life	\Interactive Music Hierarchy\Default Work Unit\State_juicy_music		
	677204877	Dead_fast	Player_life	\Interactive Music Hierarchy\Default Work Unit\State_juicy_music		

Effect plug-ins	ID	Name	Type				Notes
	550093460	Wwise Harmonizer (Custom)	Wwise Harmonizer			
	1588715066	Echoes_Linear	Wwise Delay			
	4043410653	Pitche_schifter	Wwise Pitch Shifter			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1706520	Powerup2	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Powerup2_17B75EF5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sons_state_updown\Stage_up\Powerup2		58440
	78283646	Powerup3	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Powerup3_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sons_state_updown\Stage_up\Powerup3		56608
	115080511	Basse_transition_2_mesures_160BPM	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Basse_transition_2_mesures_160BPM_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\State_juicy_music\Transition\Basse_transition_2_mesures_160BPM		576064
	127244324	Basse_stage_1_16mesures_160BPM	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\State_2\Basse_stage_1_16mesures_160BPM_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\State_juicy_music\State_2\State 2\Basse_stage_1_16mesures_160BPM		4608064
	152217267	Powerdown4	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Powerdown4_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sons_state_updown\Stage_down\Powerdown4		48064
